dummy_field	id_set_1	name_set_1	id_set_2	name_set_2
1.0	125689	id_175301	94778	id_132452
1.0	168897	id_235329	39838	id_56859
1.0	161521	id_225109	26479	id_37650
0.96	180060	id_250178	142950	id_199296
0.97	59623	id_84878	8041	id_11882
1.0	76807	id_108974	76628	id_108786
0.88	101010	id_141313	31067	id_44393
0.91	114582	id_159860	42769	id_61112
0.97	162446	id_226611	162436	id_226601
1.0	19507	id_28253	19501	id_28247
1.0	181835	id_252545	68879	id_97204
0.97	59623	id_84878	8017	id_11858
1.0	181781	id_252491	91949	id_129056
1.0	28796	id_40931	28781	id_40914
0.88	125228	id_174683	77376	id_109770
0.89	69864	id_98530	37394	id_53698
1.0	180952	id_251417	27752	id_39589
